ticker,sector,sector_etf,signal,close,qv_score,fi_score,theme_score,f_score,fund_composite,rs_rating,trend_template,not_extended,breakout,volume_ok,exit_active,exit_reasons,entry_reasons,entry_blockers,fi_flags,pct_above_sma50,high_52w,low_52w
LRCX,Technology,XLK,COMPRA,297.1700134277344,43.798449612403104,40.0,88.88888888888889,0,64.24160206718346,97.28155339805825,True,True,True,True,False,[],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (24% sobre SMA50)', 'Fuerza relativa alta (RS 97/100)', 'Línea de fuerza relativa en máximos', 'Breakout sobre pivot con volumen 1.4× lo normal']",[],"['Revisiones de analistas al alza', 'Beat consistente últimos 2 trimestres']",0.24284845831929103,297.1700134277344,72.62785339355469
EME,Industrials,XLI,EVITAR,943.75,48.837209302325576,0.0,38.88888888888889,0,46.75710594315245,91.84466019417475,True,True,True,True,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (20% sobre SMA50)', 'Fuerza relativa alta (RS 92/100)', 'Línea de fuerza relativa en máximos', 'Breakout sobre pivot con volumen 1.4× lo normal']",[],"['Beat consistente últimos 2 trimestres', 'Margen bruto en contracción']",0.20375877039205462,943.75,432.2416687011719
CMI,Industrials,XLI,EVITAR,715.760009765625,41.08527131782946,-40.0,38.88888888888889,0,36.656330749354005,93.98058252427185,True,True,True,True,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (22% sobre SMA50)', 'Fuerza relativa alta (RS 94/100)', 'Línea de fuerza relativa en máximos', 'Breakout sobre pivot con volumen 1.5× lo normal']",[],"['Miss consistente últimos 2 trimestres', 'Margen bruto en contracción']",0.21584843910549023,715.760009765625,292.501220703125
STX,Technology,XLK,OBSERVAR,786.4199829101562,99.6124031007752,60.0,88.88888888888889,0,90.06718346253231,99.02912621359224,True,False,True,False,False,[],"['Patrón de tendencia alcista (Stage 2)', 'Fuerza relativa alta (RS 99/100)', 'Línea de fuerza relativa en máximos']","['Demasiado extendida (63% sobre SMA50)', 'Breakout sin confirmación de volumen']","['Revisiones de analistas al alza', 'Beat consistente últimos 2 trimestres', 'Margen bruto en expansión los últimos 4 trimestres']",0.6331593300913759,786.4199829101562,92.70516967773438
ADI,Technology,XLK,OBSERVAR,415.6300048828125,80.81395348837209,40.0,88.88888888888889,0,79.04780361757106,94.1747572815534,True,True,True,False,False,[],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (20% sobre SMA50)', 'Fuerza relativa alta (RS 94/100)', 'Línea de fuerza relativa en máximos']",['Breakout sin confirmación de volumen'],"['Revisiones de analistas al alza', 'Margen bruto en expansión los últimos 4 trimestres']",0.20095628096310392,415.6300048828125,192.66058349609375
AVGO,Technology,XLK,OBSERVAR,425.44000244140625,89.14728682170544,20.0,88.88888888888889,0,78.88113695090439,91.06796116504854,True,True,False,False,False,[],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (20% sobre SMA50)', 'Fuerza relativa alta (RS 91/100)']",['Sin breakout reciente sobre resistencia'],['Revisiones de analistas al alza'],0.19894146801248966,427.3599853515625,198.48178100585938
AAPL,Technology,XLK,OBSERVAR,287.510009765625,79.84496124031007,40.0,88.88888888888889,7,78.66020671834625,74.36893203883496,False,True,True,False,False,[],['No extendida (10% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'Fuerza relativa insuficiente (RS 74)', 'Breakout sin confirmación de volumen']","['Revisiones de analistas al alza', 'Margen bruto en expansión los últimos 4 trimestres']",0.09681804148842699,287.510009765625,194.67758178710938
NVDA,Technology,XLK,OBSERVAR,207.8300018310547,74.4186046511628,40.0,88.88888888888889,5,76.48966408268734,81.35922330097087,True,True,False,False,False,[],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (11% sobre SMA50)', 'Fuerza relativa alta (RS 81/100)']",['Sin breakout reciente sobre resistencia'],"['Revisiones de analistas al alza', 'Margen bruto en expansión los últimos 4 trimestres']",0.10710395749214066,216.61000061035156,113.51325988769531
MU,Technology,XLK,OBSERVAR,666.5900268554688,62.7906976744186,60.0,88.88888888888889,0,75.33850129198967,99.22330097087378,True,False,True,False,False,[],"['Patrón de tendencia alcista (Stage 2)', 'Fuerza relativa alta (RS 99/100)', 'Línea de fuerza relativa en máximos']","['Demasiado extendida (52% sobre SMA50)', 'Breakout sin confirmación de volumen']","['Revisiones de analistas al alza', 'Beat consistente últimos 2 trimestres', 'Margen bruto en expansión los últimos 4 trimestres']",0.5222155818649192,666.5900268554688,80.31775665283203
VRSN,Technology,XLK,OBSERVAR,275.760009765625,87.79069767441861,0.0,88.88888888888889,0,74.83850129198967,57.4757281553398,False,True,False,False,False,[],['No extendida (8% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Fuerza relativa insuficiente (RS 57)', 'Sin breakout reciente sobre resistencia']",[],0.08239572292251908,303.033447265625,211.49000549316406
WDC,Technology,XLK,OBSERVAR,483.1499938964844,57.94573643410853,60.0,88.88888888888889,0,73.40051679586563,99.6116504854369,True,False,True,False,False,[],"['Patrón de tendencia alcista (Stage 2)', 'Fuerza relativa alta (RS 100/100)', 'Línea de fuerza relativa en máximos']","['Demasiado extendida (47% sobre SMA50)', 'Breakout sin confirmación de volumen']","['Revisiones de analistas al alza', 'Beat consistente últimos 2 trimestres', 'Margen bruto en expansión los últimos 4 trimestres']",0.4724214215970214,483.1499938964844,43.91046142578125
FFIV,Technology,XLK,OBSERVAR,341.0199890136719,73.25581395348837,20.0,88.88888888888889,0,72.52454780361757,78.44660194174757,False,True,True,False,False,[],['No extendida (15% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'Fuerza relativa insuficiente (RS 78)', 'Breakout sin confirmación de volumen']",['Beat consistente últimos 2 trimestres'],0.1466017159473802,343.1700134277344,223.99000549316406
NXPI,Technology,XLK,OBSERVAR,303.54998779296875,70.93023255813954,20.0,88.88888888888889,0,71.59431524547804,89.90291262135922,False,False,True,True,False,[],"['Fuerza relativa alta (RS 90/100)', 'Línea de fuerza relativa en máximos', 'Breakout sobre pivot con volumen 1.4× lo normal']",['Medias móviles no alineadas alcistas'],['Margen bruto en expansión los últimos 4 trimestres'],0.3928062692913079,303.54998779296875,178.9978790283203
NTAP,Technology,XLK,OBSERVAR,111.73999786376953,70.15503875968993,20.0,88.88888888888889,0,71.28423772609818,59.6116504854369,False,True,False,False,False,[],['No extendida (9% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'Fuerza relativa insuficiente (RS 60)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en expansión los últimos 4 trimestres'],0.086503567937157,124.56381225585938,90.5090560913086
